board,predicted,truth,localised,correctly_named,runtime_s
20085291,6,9,6,6,0.0417
20085292,4,7,4,4,0.0511
20085293,5,7,5,5,0.0339
20085294,5,9,5,5,0.0243
20085295,5,7,5,5,0.0378
20085296,6,9,6,5,0.0347
20085297,2,7,2,2,0.0557
20085298,2,6,2,2,0.0263
20085299,7,8,6,6,0.0321
20085300,6,8,6,5,0.0346
20085301,6,8,6,6,0.0371
20085302,5,7,5,5,0.0348
20085303,5,7,5,4,0.0348
20085304,4,8,4,4,0.0294
20085305,5,8,5,5,0.0367
20085306,3,6,3,3,0.0293
20085307,5,5,5,5,0.0257
20085308,6,7,6,6,0.0385
20085309,5,9,5,5,0.0353
20085310,5,10,5,4,0.0447
20085311,2,2,2,2,0.0246
20085312,3,4,3,3,0.0203
20085313,2,6,2,2,0.0307
20085314,5,7,5,5,0.0253
20085315,5,7,5,5,0.0236
20085316,3,5,3,3,0.0235
20085317,5,9,5,5,0.0255
20085318,5,7,4,4,0.0253
20085319,3,4,3,3,0.0221
20085320,0,2,0,0,0.0187
20085321,3,6,3,3,0.0254
20085322,5,7,5,5,0.026
20085323,4,7,4,4,0.0435
20085324,5,5,5,5,0.0204
13000198,13,4,4,4,0.0256
13000199,12,8,6,6,0.0259
13000200,6,6,5,5,0.0204
13000201,6,5,3,3,0.0281
13000202,6,6,3,3,0.0345
13000203,8,7,5,4,0.0244
13000204,8,8,5,5,0.0241
13000205,6,8,5,5,0.0311
13000206,4,4,3,2,0.0232
13000207,4,4,4,2,0.0325
13000208,7,7,7,7,0.038
13000209,6,6,6,5,0.0263
13000210,5,6,5,5,0.0195
13000211,5,5,5,5,0.0215
13000212,5,5,5,5,0.0208
13000213,2,3,2,2,0.0176
13000214,4,5,4,4,0.0207
13000215,6,9,6,6,0.0227
00041200,5,5,5,4,0.0248
00041201,5,5,5,5,0.0225
00041202,3,4,3,3,0.0535
00041203,5,5,5,4,0.0285
00041204,11,6,6,5,0.0367
00041205,5,5,5,5,0.023
00041206,6,5,5,5,0.0371
00041207,10,4,4,4,0.0352
00041208,4,4,4,4,0.0249
00041209,4,5,4,4,0.0242
00041210,5,5,5,5,0.0241
00041211,4,4,4,3,0.0231
00041212,5,5,5,5,0.0236
00041213,5,5,5,5,0.0251
00041214,4,5,4,3,0.0217
00041215,6,6,6,5,0.0371
00041216,6,6,6,6,0.0261
00041217,6,6,6,4,0.0251
00041218,6,6,6,5,0.0232
00041219,4,5,4,4,0.0228
00041220,6,6,6,6,0.0239
77000100,4,4,4,3,0.0268
77000101,4,4,4,4,0.0227
77000102,4,5,4,4,0.0258
77000103,5,5,5,5,0.0235
77000104,3,4,3,2,0.0244
77000105,4,6,4,4,0.0272
77000106,5,5,5,5,0.022
