board,predicted,truth,localised,correctly_named,runtime_s
20085291,6,9,6,6,0.1558
20085292,4,7,4,4,0.1647
20085293,5,7,5,5,0.0793
20085294,5,9,5,5,0.0698
20085295,5,7,5,5,0.1079
20085296,6,9,6,5,0.0999
20085297,2,7,2,2,0.1042
20085298,2,6,2,2,0.0794
20085299,7,8,6,6,0.1273
20085300,6,8,6,5,0.1281
20085301,6,8,6,6,0.1439
20085302,5,7,5,5,0.0853
20085303,5,7,5,4,0.1336
20085304,4,8,4,4,0.0635
20085305,5,8,5,5,0.1127
20085306,3,6,3,3,0.0967
20085307,5,5,5,5,0.0825
20085308,6,7,6,6,0.1388
20085309,5,9,5,5,0.1527
20085310,5,10,5,4,0.1543
20085311,2,2,2,2,0.0705
20085312,3,4,3,3,0.0715
20085313,2,6,2,2,0.0977
20085314,5,7,5,5,0.0826
20085315,5,7,5,5,0.093
20085316,3,5,3,3,0.0733
20085317,5,9,5,5,0.101
20085318,5,7,4,4,0.0717
20085319,3,4,3,3,0.0665
20085320,0,2,0,0,0.0688
20085321,3,6,3,3,0.0832
20085322,5,7,5,5,0.0987
20085323,4,7,4,4,0.1124
20085324,5,5,5,5,0.0767
13000198,13,4,4,4,0.1003
13000199,12,8,6,6,0.1026
13000200,6,6,5,5,0.0491
13000201,6,5,3,3,0.074
13000202,6,6,3,3,0.0917
13000203,8,7,5,4,0.1092
13000204,8,8,5,5,0.0949
13000205,6,8,5,5,0.1083
13000206,4,4,3,2,0.0838
13000207,4,4,4,2,0.1243
13000208,7,7,7,7,0.0559
13000209,6,6,6,5,0.0829
13000210,5,6,5,5,0.0715
13000211,5,5,5,5,0.0721
13000212,5,5,5,5,0.0631
13000213,2,3,2,2,0.0517
13000214,4,5,4,4,0.0662
13000215,6,9,6,6,0.0768
00041200,5,5,5,4,0.0911
00041201,5,5,5,5,0.0853
00041202,3,4,3,3,0.1307
00041203,5,5,5,4,0.101
00041204,11,6,6,5,0.1498
00041205,5,5,5,5,0.0845
00041206,6,5,5,5,0.104
00041207,10,4,4,4,0.1333
00041208,4,4,4,4,0.0877
00041209,4,5,4,4,0.0488
00041210,5,5,5,5,0.0443
00041211,4,4,4,3,0.0557
00041212,5,5,5,5,0.0729
00041213,5,5,5,5,0.0756
00041214,4,5,4,3,0.0758
00041215,6,6,6,5,0.0957
00041216,6,6,6,6,0.0817
00041217,6,6,6,4,0.0557
00041218,6,6,6,5,0.0728
00041219,4,5,4,4,0.0733
00041220,6,6,6,6,0.0859
77000100,4,4,4,3,0.0903
77000101,4,4,4,4,0.0495
77000102,4,5,4,4,0.0783
77000103,5,5,5,5,0.0836
77000104,3,4,3,2,0.0849
77000105,4,6,4,4,0.0704
77000106,5,5,5,5,0.0696
