dataset,min_contact_px,iou_threshold,boards,loc_precision,loc_recall,loc_f1,cls_precision,cls_recall,cls_f1,macro_f1,class_accuracy,mean_iou_matched,mean_runtime_s,max_runtime_s,within_3s_pct,failures
deeppcb,2,0.5,80,0.8891,0.8353,0.8614,0.8766,0.8235,0.8492,0.847,0.9859,0.8108,0.0356,0.1466,100.0,0
deeppcb,6,0.5,80,0.8891,0.8353,0.8614,0.8766,0.8235,0.8492,0.847,0.9859,0.8108,0.0338,0.0715,100.0,0
deeppcb,12,0.5,80,0.8891,0.8353,0.8614,0.873,0.8202,0.8458,0.8429,0.9819,0.8108,0.034,0.0716,100.0,0
deeppcb,25,0.5,80,0.8891,0.8353,0.8614,0.7674,0.721,0.7435,0.7449,0.8632,0.8108,0.0337,0.0721,100.0,0
deeppcb,50,0.5,80,0.8891,0.8353,0.8614,0.4562,0.4286,0.4419,0.405,0.5131,0.8108,0.034,0.0716,100.0,0
deeppcb,75,0.5,80,0.8891,0.8353,0.8614,0.3846,0.3613,0.3726,0.3008,0.4326,0.8108,0.0452,0.2291,100.0,0
deeppcb,100,0.5,80,0.8891,0.8353,0.8614,0.3488,0.3277,0.338,0.2637,0.3924,0.8108,0.0605,0.1225,100.0,0
deeppcb,150,0.5,80,0.8891,0.8353,0.8614,0.2809,0.2639,0.2721,0.1692,0.3159,0.8108,0.0332,0.0697,100.0,0
deeppcb,250,0.5,80,0.8891,0.8353,0.8614,0.2791,0.2622,0.2704,0.1609,0.3139,0.8108,0.0332,0.0697,100.0,0
deeppcb,400,0.5,80,0.8891,0.8353,0.8614,0.2791,0.2622,0.2704,0.1602,0.3139,0.8108,0.0335,0.0704,100.0,0
