board,predicted,truth,localised,correctly_named,runtime_s
20085291,6,9,6,3,0.1254
20085292,4,7,4,2,0.1614
20085293,5,7,5,5,0.0732
20085294,5,9,5,3,0.0692
20085295,5,7,5,2,0.0989
20085296,6,9,6,3,0.1051
20085297,2,7,2,1,0.1472
20085298,2,6,2,2,0.0504
20085299,7,8,6,5,0.0798
20085300,6,8,6,2,0.0996
20085301,6,8,6,2,0.0983
20085302,5,7,5,3,0.0931
20085303,5,7,5,4,0.0724
20085304,4,8,4,3,0.0739
20085305,5,8,5,2,0.0653
20085306,3,6,3,3,0.075
20085307,5,5,5,1,0.0771
20085308,6,7,6,4,0.1071
20085309,5,9,5,2,0.0805
20085310,5,10,5,3,0.1398
20085311,2,2,2,2,0.048
20085312,3,4,3,2,0.0649
20085313,2,6,2,1,0.0817
20085314,5,7,5,2,0.0788
20085315,5,7,5,2,0.0612
20085316,3,5,3,3,0.0714
20085317,5,9,5,4,0.0556
20085318,5,7,4,3,0.071
20085319,3,4,3,2,0.0573
20085320,0,2,0,0,0.0385
20085321,3,6,3,3,0.0584
20085322,5,7,5,2,0.0666
20085323,4,7,4,2,0.1256
20085324,5,5,5,2,0.0756
13000198,13,4,4,3,0.0929
13000199,12,8,6,3,0.0941
13000200,6,6,5,1,0.0662
13000201,6,5,3,2,0.0717
13000202,6,6,3,3,0.1116
13000203,8,7,5,4,0.0856
13000204,8,8,5,3,0.0758
13000205,6,8,5,3,0.0886
13000206,4,4,3,1,0.069
13000207,4,4,4,1,0.0952
13000208,7,7,7,2,0.0857
13000209,6,6,6,2,0.0696
13000210,5,6,5,1,0.0486
13000211,5,5,5,2,0.0703
13000212,5,5,5,1,0.0796
13000213,2,3,2,1,0.0674
13000214,4,5,4,3,0.0804
13000215,6,9,6,0,0.0748
00041200,5,5,5,2,0.0489
00041201,5,5,5,1,0.0672
00041202,3,4,3,0,0.131
00041203,5,5,5,2,0.0931
00041204,11,6,6,3,0.1227
00041205,5,5,5,2,0.0716
00041206,6,5,5,1,0.1473
00041207,10,4,4,1,0.0702
00041208,4,4,4,1,0.0467
00041209,4,5,4,2,0.048
00041210,5,5,5,1,0.0447
00041211,4,4,4,1,0.0447
00041212,5,5,5,2,0.045
00041213,5,5,5,4,0.0455
00041214,4,5,4,0,0.04
00041215,6,6,6,1,0.0486
00041216,6,6,6,2,0.0575
00041217,6,6,6,1,0.0566
00041218,6,6,6,3,0.0424
00041219,4,5,4,1,0.0419
00041220,6,6,6,2,0.0423
77000100,4,4,4,1,0.0495
77000101,4,4,4,3,0.0401
77000102,4,5,4,0,0.0452
77000103,5,5,5,1,0.0418
77000104,3,4,3,1,0.0409
77000105,4,6,4,3,0.0508
77000106,5,5,5,2,0.0408
