board,predicted,truth,localised,correctly_named,runtime_s
20085291,6,9,6,3,0.0416
20085292,4,7,4,2,0.0532
20085293,5,7,5,5,0.0343
20085294,5,9,5,3,0.0243
20085295,5,7,5,2,0.0372
20085296,6,9,6,3,0.0333
20085297,2,7,2,1,0.0554
20085298,2,6,2,2,0.0263
20085299,7,8,6,5,0.0314
20085300,6,8,6,2,0.0339
20085301,6,8,6,2,0.0372
20085302,5,7,5,3,0.0342
20085303,5,7,5,4,0.0384
20085304,4,8,4,3,0.0288
20085305,5,8,5,2,0.0379
20085306,3,6,3,3,0.0301
20085307,5,5,5,1,0.0257
20085308,6,7,6,4,0.0432
20085309,5,9,5,2,0.0355
20085310,5,10,5,3,0.0439
20085311,2,2,2,2,0.0247
20085312,3,4,3,2,0.0207
20085313,2,6,2,1,0.0307
20085314,5,7,5,2,0.0262
20085315,5,7,5,2,0.0232
20085316,3,5,3,3,0.0223
20085317,5,9,5,4,0.0252
20085318,5,7,4,3,0.024
20085319,3,4,3,2,0.0215
20085320,0,2,0,0,0.0197
20085321,3,6,3,3,0.0243
20085322,5,7,5,2,0.0262
20085323,4,7,4,2,0.0428
20085324,5,5,5,2,0.0202
13000198,13,4,4,3,0.0244
13000199,12,8,6,3,0.0251
13000200,6,6,5,1,0.0195
13000201,6,5,3,2,0.0265
13000202,6,6,3,3,0.0334
13000203,8,7,5,4,0.0237
13000204,8,8,5,3,0.0233
13000205,6,8,5,3,0.0312
13000206,4,4,3,1,0.0249
13000207,4,4,4,1,0.0305
13000208,7,7,7,2,0.0221
13000209,6,6,6,2,0.0265
13000210,5,6,5,1,0.0198
13000211,5,5,5,2,0.0209
13000212,5,5,5,1,0.0203
13000213,2,3,2,1,0.0178
13000214,4,5,4,3,0.0199
13000215,6,9,6,0,0.0227
00041200,5,5,5,2,0.0244
00041201,5,5,5,1,0.0221
00041202,3,4,3,0,0.0529
00041203,5,5,5,2,0.0248
00041204,11,6,6,3,0.0351
00041205,5,5,5,2,0.022
00041206,6,5,5,1,0.0364
00041207,10,4,4,1,0.0357
00041208,4,4,4,1,0.0245
00041209,4,5,4,2,0.0233
00041210,5,5,5,1,0.0232
00041211,4,4,4,1,0.0217
00041212,5,5,5,2,0.0232
00041213,5,5,5,4,0.0241
00041214,4,5,4,0,0.022
00041215,6,6,6,1,0.0253
00041216,6,6,6,2,0.0236
00041217,6,6,6,1,0.0242
00041218,6,6,6,3,0.0227
00041219,4,5,4,1,0.0225
00041220,6,6,6,2,0.0234
77000100,4,4,4,1,0.0271
77000101,4,4,4,3,0.0222
77000102,4,5,4,0,0.0251
77000103,5,5,5,1,0.0228
77000104,3,4,3,1,0.0225
77000105,4,6,4,3,0.0264
77000106,5,5,5,2,0.0217
