board,predicted,truth,localised,correctly_named,runtime_s
01_missing_hole_01,5,3,3,0,0.5142
04_missing_hole_04,0,3,0,0,0.6089
05_missing_hole_07,27,5,0,0,0.6995
07_missing_hole_10,6,5,2,0,0.4835
10_missing_hole_03,49,5,5,0,0.752
01_mouse_bite_01,2,3,0,0,0.4847
04_mouse_bite_04,9,3,3,0,0.7224
05_mouse_bite_07,7,6,6,0,0.4964
07_mouse_bite_10,8,5,5,0,0.5043
10_mouse_bite_03,8,5,5,0,0.4476
01_open_circuit_01,6,3,0,0,0.5196
04_open_circuit_04,4,3,3,0,0.6562
05_open_circuit_07,30,3,3,0,0.6888
07_open_circuit_10,5,5,5,0,0.4715
10_open_circuit_03,29,5,4,0,0.5937
12_open_circuit_10,23,5,3,0,0.7476
04_short_03,6,3,0,0,0.6768
05_short_06,30,3,3,0,0.7093
07_short_08,4,5,0,0,0.5017
10_short_01,9,5,0,0,0.5048
12_short_09,2,5,2,0,0.5518
04_spur_02,1,3,1,0,0.6513
05_spur_05,8,5,5,0,0.5286
07_spur_08,12,5,4,0,0.5481
10_spur_01,52,5,5,0,0.7693
12_spur_09,7,6,6,0,0.5683
04_spurious_copper_02,1,3,1,0,0.6063
05_spurious_copper_05,4,5,4,0,0.4794
07_spurious_copper_08,5,5,4,0,0.4845
10_spurious_copper_01,7,5,5,1,0.4442
