board,predicted,truth,localised,correctly_named,runtime_s
01_missing_hole_01,5,3,3,0,0.5292
04_missing_hole_04,0,3,0,0,0.6071
05_missing_hole_07,27,5,0,0,0.6602
07_missing_hole_10,6,5,2,0,0.4733
10_missing_hole_03,49,5,5,0,0.7253
01_mouse_bite_01,2,3,0,0,0.4749
04_mouse_bite_04,9,3,3,0,0.7163
05_mouse_bite_07,7,6,6,0,0.4902
07_mouse_bite_10,8,5,5,0,0.4907
10_mouse_bite_03,8,5,5,0,0.4319
01_open_circuit_01,6,3,0,0,0.4985
04_open_circuit_04,4,3,3,0,0.6413
05_open_circuit_07,30,3,3,0,0.6776
07_open_circuit_10,5,5,5,0,0.4687
10_open_circuit_03,29,5,4,0,0.5884
12_open_circuit_10,23,5,3,0,0.7285
04_short_03,6,3,0,0,0.6667
05_short_06,30,3,3,0,0.6815
07_short_08,4,5,0,0,0.4656
10_short_01,9,5,0,0,0.4479
12_short_09,2,5,2,0,0.512
04_spur_02,1,3,1,0,0.6087
05_spur_05,8,5,5,0,0.5008
07_spur_08,12,5,4,0,0.5332
10_spur_01,52,5,5,0,0.7463
12_spur_09,7,6,6,0,0.5619
04_spurious_copper_02,1,3,1,0,0.5862
05_spurious_copper_05,4,5,4,0,0.4562
07_spurious_copper_08,5,5,4,0,0.4694
10_spurious_copper_01,7,5,5,0,0.4266
