board,predicted,truth,localised,correctly_named,runtime_s
01_missing_hole_01,3,3,3,0,0.5218
04_missing_hole_04,1,3,1,0,0.6408
05_missing_hole_07,0,5,0,0,0.4837
07_missing_hole_10,4,5,2,0,0.4988
10_missing_hole_03,5,5,5,0,0.4693
01_mouse_bite_01,0,3,0,0,0.5053
04_mouse_bite_04,6,3,3,0,0.6873
05_mouse_bite_07,7,6,6,0,0.5253
07_mouse_bite_10,8,5,5,1,0.5595
10_mouse_bite_03,8,5,5,0,0.4865
01_open_circuit_01,0,3,0,0,0.4775
04_open_circuit_04,3,3,3,0,0.6216
05_open_circuit_07,3,3,3,0,0.4758
07_open_circuit_10,5,5,5,0,0.4819
10_open_circuit_03,4,5,4,0,0.4175
12_open_circuit_10,3,5,3,0,0.5294
04_short_03,3,3,0,0,0.6129
05_short_06,3,3,3,0,0.471
07_short_08,3,5,0,0,0.5273
10_short_01,9,5,0,0,0.5724
12_short_09,2,5,2,0,0.5646
04_spur_02,1,3,1,0,0.5989
05_spur_05,6,5,5,0,0.5072
07_spur_08,8,5,4,0,0.5662
10_spur_01,9,5,5,0,0.8815
12_spur_09,7,6,6,0,1.3033
04_spurious_copper_02,1,3,1,0,1.418
05_spurious_copper_05,4,5,4,0,0.9962
07_spurious_copper_08,4,5,4,0,1.1638
10_spurious_copper_01,7,5,5,1,1.019
