board,predicted,truth,localised,correctly_named,runtime_s
01_missing_hole_01,3,3,3,3,0.4779
04_missing_hole_04,1,3,1,1,0.5725
05_missing_hole_07,0,5,0,0,0.4134
07_missing_hole_10,4,5,2,2,0.4641
10_missing_hole_03,5,5,5,3,0.4089
01_mouse_bite_01,0,3,0,0,0.4533
04_mouse_bite_04,6,3,3,1,0.6346
05_mouse_bite_07,7,6,6,0,0.4772
07_mouse_bite_10,8,5,5,0,0.4886
10_mouse_bite_03,8,5,5,2,0.4324
01_open_circuit_01,0,3,0,0,0.4477
04_open_circuit_04,3,3,3,3,0.5916
05_open_circuit_07,3,3,3,0,0.4392
07_open_circuit_10,5,5,5,0,0.461
10_open_circuit_03,4,5,4,3,0.4039
12_open_circuit_10,3,5,3,0,0.5107
04_short_03,3,3,0,0,0.5977
05_short_06,3,3,3,1,0.4696
07_short_08,3,5,0,0,0.44
10_short_01,9,5,0,0,0.4368
12_short_09,2,5,2,0,0.5
04_spur_02,1,3,1,0,0.5738
05_spur_05,6,5,5,0,0.4799
07_spur_08,8,5,4,0,0.483
10_spur_01,9,5,5,0,0.4445
12_spur_09,7,6,6,0,0.5508
04_spurious_copper_02,1,3,1,0,0.5873
05_spurious_copper_05,4,5,4,0,0.457
07_spurious_copper_08,4,5,4,0,0.4595
10_spurious_copper_01,7,5,5,0,0.4275
