name,board,scale,true_deg,estimated_deg,abs_error_deg,relative_error_deg,ms,detected,method
01_missing_hole_01,01,0.25,4.0,5.426,1.426,1.426,7.0,True,flood
01_missing_hole_06,01,0.25,-9.0,-9.515,0.515,0.515,9.5,True,flood
01_missing_hole_11,01,0.25,9.0,10.231,1.231,1.231,7.3,True,flood
01_missing_hole_16,01,0.25,3.0,4.041,1.041,1.041,8.1,True,flood
04_missing_hole_01,04,0.25,4.0,5.187,1.187,1.187,9.7,True,flood
04_missing_hole_06,04,0.25,-8.0,-8.427,0.427,0.427,9.3,True,flood
04_missing_hole_11,04,0.25,-10.0,-10.484,0.484,0.484,13.1,True,flood
04_missing_hole_16,04,0.25,-7.0,-7.339,0.339,0.339,11.7,True,flood
05_missing_hole_01,05,0.25,8.0,8.906,0.906,0.906,5.6,True,flood
05_missing_hole_06,05,0.25,-6.0,-7.058,1.058,1.058,6.8,True,flood
06_missing_hole_01,06,0.25,10.0,10.705,0.705,0.705,8.9,True,flood
06_missing_hole_06,06,0.25,-3.0,-4.252,1.252,1.252,13.1,True,flood
07_missing_hole_01,07,0.25,-8.0,-8.414,0.414,0.414,8.2,True,flood
07_missing_hole_06,07,0.25,0.0,0.0,0.0,0.0,5.7,True,flood
08_missing_hole_01,08,0.25,-2.0,-2.964,0.964,0.964,6.1,True,flood
08_missing_hole_06,08,0.25,6.0,7.194,1.194,1.194,6.4,True,flood
09_missing_hole_01,09,0.25,-6.0,-6.009,0.009,0.009,8.0,True,flood
09_missing_hole_06,09,0.25,-5.0,-4.764,0.236,0.236,7.7,True,flood
10_missing_hole_01,10,0.25,-3.0,-4.363,1.363,1.363,6.7,True,flood
11_missing_hole_01,11,0.25,10.0,11.195,1.195,1.195,10.0,True,flood
11_missing_hole_06,11,0.25,2.0,3.9,1.9,1.9,8.0,True,flood
12_missing_hole_01,12,0.25,2.0,2.465,0.465,0.465,12.1,True,flood
12_missing_hole_06,12,0.25,7.0,8.431,1.431,1.431,15.2,True,flood
01_mouse_bite_01,01,0.25,-6.0,-6.598,0.598,0.598,6.8,True,flood
01_mouse_bite_06,01,0.25,-10.0,-10.491,0.491,0.491,7.3,True,flood
01_mouse_bite_11,01,0.25,7.0,8.083,1.083,1.083,5.2,True,flood
01_mouse_bite_16,01,0.25,9.0,10.231,1.231,1.231,7.6,True,flood
04_mouse_bite_01,04,0.25,4.0,5.187,1.187,1.187,7.4,True,flood
04_mouse_bite_06,04,0.25,-4.0,-4.391,0.391,0.391,7.8,True,flood
04_mouse_bite_11,04,0.25,1.0,1.793,0.793,0.793,7.5,True,flood
04_mouse_bite_16,04,0.25,9.0,9.507,0.507,0.507,8.1,True,flood
05_mouse_bite_01,05,0.25,6.0,6.858,0.858,0.858,7.2,True,flood
05_mouse_bite_06,05,0.25,3.0,4.147,1.147,1.147,8.3,True,flood
06_mouse_bite_01,06,0.25,-3.0,-4.252,1.252,1.252,8.2,True,flood
06_mouse_bite_06,06,0.25,-3.0,-4.252,1.252,1.252,6.8,True,flood
07_mouse_bite_01,07,0.25,5.0,6.303,1.303,1.303,7.4,True,flood
07_mouse_bite_06,07,0.25,-4.0,-4.399,0.399,0.399,6.0,True,flood
08_mouse_bite_01,08,0.25,7.0,8.143,1.143,1.143,8.7,True,flood
08_mouse_bite_06,08,0.25,-8.0,-7.755,0.245,0.245,6.7,True,flood
09_mouse_bite_01,09,0.25,-1.0,-1.79,0.79,0.79,26.2,True,flood
09_mouse_bite_06,09,0.25,8.0,9.477,1.477,1.477,43.6,True,flood
10_mouse_bite_01,10,0.25,1.0,0.0,1.0,1.0,26.1,True,flood
11_mouse_bite_01,11,0.25,2.0,3.9,1.9,1.9,32.0,True,flood
11_mouse_bite_06,11,0.25,3.0,4.663,1.663,1.663,21.6,True,flood
12_mouse_bite_01,12,0.25,5.0,6.303,1.303,1.303,32.0,True,flood
12_mouse_bite_06,12,0.25,2.0,2.465,0.465,0.465,25.3,True,flood
01_open_circuit_01,01,0.25,9.0,10.231,1.231,1.231,41.8,True,flood
01_open_circuit_06,01,0.25,1.0,0.0,1.0,1.0,32.9,True,flood
01_open_circuit_11,01,0.25,-1.0,0.0,1.0,1.0,20.3,True,flood
01_open_circuit_16,01,0.25,2.0,3.576,1.576,1.576,23.3,True,flood
04_open_circuit_01,04,0.25,1.0,1.793,0.793,0.793,31.2,True,flood
04_open_circuit_06,04,0.25,4.0,5.187,1.187,1.187,21.5,True,flood
04_open_circuit_11,04,0.25,7.0,7.477,0.477,0.477,26.3,True,flood
04_open_circuit_16,04,0.25,-10.0,-10.484,0.484,0.484,19.4,True,flood
05_open_circuit_01,05,0.25,-2.0,-3.545,1.545,1.545,12.1,True,flood
05_open_circuit_06,05,0.25,2.0,3.2,1.2,1.2,11.5,True,flood
06_open_circuit_01,06,0.25,7.0,7.76,0.76,0.76,13.8,True,flood
06_open_circuit_06,06,0.25,-1.0,0.0,1.0,1.0,8.3,True,flood
07_open_circuit_01,07,0.25,-8.0,-8.414,0.414,0.414,9.2,True,flood
07_open_circuit_06,07,0.25,8.0,9.193,1.193,1.193,9.4,True,flood
08_open_circuit_01,08,0.25,7.0,8.143,1.143,1.143,22.2,True,flood
08_open_circuit_06,08,0.25,-3.0,-3.826,0.826,0.826,19.2,True,flood
09_open_circuit_01,09,0.25,6.0,7.273,1.273,1.273,20.5,True,flood
09_open_circuit_06,09,0.25,-5.0,-4.764,0.236,0.236,18.8,True,flood
10_open_circuit_01,10,0.25,-4.0,-5.264,1.264,1.264,16.7,True,flood
10_open_circuit_06,10,0.25,-4.0,-5.264,1.264,1.264,19.7,True,flood
11_open_circuit_05,11,0.25,6.0,7.454,1.454,1.454,21.0,True,flood
11_open_circuit_10,11,0.25,-1.0,0.0,1.0,1.0,21.4,True,flood
12_open_circuit_05,12,0.25,7.0,8.431,1.431,1.431,44.6,True,flood
12_open_circuit_10,12,0.25,-8.0,-8.319,0.319,0.319,24.9,True,flood
01_short_05,01,0.25,8.0,9.246,1.246,1.246,16.2,True,flood
01_short_10,01,0.25,-7.0,-7.568,0.568,0.568,6.6,True,flood
01_short_15,01,0.25,5.0,6.205,1.205,1.205,7.1,True,flood
01_short_20,01,0.25,8.0,9.246,1.246,1.246,9.4,True,flood
04_short_05,04,0.25,3.0,4.22,1.22,1.22,10.9,True,flood
04_short_10,04,0.25,-3.0,-4.086,1.086,1.086,11.2,True,flood
04_short_15,04,0.25,-4.0,-4.391,0.391,0.391,10.3,True,flood
04_short_20,04,0.25,6.0,6.843,0.843,0.843,12.4,True,flood
05_short_05,05,0.25,-5.0,-6.096,1.096,1.096,8.4,True,flood
05_short_10,05,0.25,6.0,6.858,0.858,0.858,7.2,True,flood
06_short_05,06,0.25,7.0,7.76,0.76,0.76,11.6,True,flood
06_short_10,06,0.25,9.0,9.839,0.839,0.839,11.5,True,flood
07_short_04,07,0.25,-1.0,-2.042,1.042,1.042,6.7,True,flood
07_short_09,07,0.25,7.0,8.265,1.265,1.265,9.0,True,flood
08_short_04,08,0.25,-1.0,-1.95,0.95,0.95,7.1,True,flood
08_short_09,08,0.25,0.0,0.0,0.0,0.0,7.6,True,flood
09_short_04,09,0.25,10.0,11.588,1.588,1.588,8.0,True,flood
09_short_09,09,0.25,9.0,10.456,1.456,1.456,10.0,True,flood
10_short_04,10,0.25,8.0,9.369,1.369,1.369,5.1,True,flood
11_short_04,11,0.25,-9.0,-10.101,1.101,1.101,11.8,True,flood
11_short_09,11,0.25,-10.0,-11.091,1.091,1.091,9.0,True,flood
12_short_04,12,0.25,-7.0,-7.602,0.602,0.602,9.4,True,flood
12_short_09,12,0.25,2.0,2.465,0.465,0.465,10.7,True,flood
01_spur_04,01,0.25,-9.0,-9.515,0.515,0.515,8.9,True,flood
01_spur_09,01,0.25,1.0,0.0,1.0,1.0,7.9,True,flood
01_spur_14,01,0.25,0.0,0.0,0.0,0.0,7.1,True,flood
01_spur_19,01,0.25,-6.0,-6.598,0.598,0.598,7.0,True,flood
04_spur_04,04,0.25,3.0,4.22,1.22,1.22,10.0,True,flood
04_spur_09,04,0.25,9.0,9.507,0.507,0.507,11.4,True,flood
04_spur_14,04,0.25,-5.0,-5.607,0.607,0.607,10.5,True,flood
04_spur_19,04,0.25,-3.0,-4.086,1.086,1.086,10.1,True,flood
05_spur_04,05,0.25,7.0,8.145,1.145,1.145,6.2,True,flood
05_spur_09,05,0.25,-9.0,-9.921,0.921,0.921,7.4,True,flood
06_spur_04,06,0.25,-10.0,-10.84,0.84,0.84,7.5,True,flood
06_spur_09,06,0.25,6.0,6.826,0.826,0.826,8.5,True,flood
07_spur_04,07,0.25,-8.0,-8.414,0.414,0.414,5.6,True,flood
07_spur_09,07,0.25,1.0,2.519,1.519,1.519,6.0,True,flood
08_spur_04,08,0.25,2.0,3.515,1.515,1.515,6.8,True,flood
08_spur_09,08,0.25,6.0,7.194,1.194,1.194,6.4,True,flood
09_spur_04,09,0.25,3.0,4.772,1.772,1.772,7.5,True,flood
09_spur_09,09,0.25,-5.0,-4.764,0.236,0.236,5.5,True,flood
10_spur_04,10,0.25,-6.0,-6.956,0.956,0.956,5.7,True,flood
11_spur_04,11,0.25,8.0,8.949,0.949,0.949,6.2,True,flood
11_spur_09,11,0.25,-3.0,-4.563,1.563,1.563,6.0,True,flood
12_spur_04,12,0.25,-1.0,0.0,1.0,1.0,6.4,True,flood
12_spur_09,12,0.25,-4.0,-4.644,0.644,0.644,6.7,True,flood
01_spurious_copper_04,01,0.25,2.0,3.576,1.576,1.576,4.9,True,flood
01_spurious_copper_09,01,0.25,3.0,4.041,1.041,1.041,4.6,True,flood
01_spurious_copper_14,01,0.25,-1.0,0.0,1.0,1.0,4.7,True,flood
01_spurious_copper_19,01,0.25,9.0,10.231,1.231,1.231,7.2,True,flood
01_missing_hole_01,01,1.0,4.0,4.071,0.071,0.071,30.0,True,flood
01_missing_hole_06,01,1.0,-9.0,-9.029,0.029,0.029,44.0,True,flood
01_missing_hole_11,01,1.0,9.0,9.047,0.047,0.047,37.6,True,flood
01_missing_hole_16,01,1.0,3.0,3.093,0.093,0.093,28.7,True,flood
04_missing_hole_01,04,1.0,4.0,4.032,0.032,0.032,52.4,True,flood
04_missing_hole_06,04,1.0,-8.0,-8.19,0.19,0.19,45.9,True,flood
